seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
9,3,Florescent,ridge,full_1fcs,1.0,0.8,0.17846917828516626,0.18409059498907504
9,3,Florescent,ridge,full_mfcs,1.0,0.8,0.17846917828516626,0.18409059498907504
9,4,Florescent,ridge,full_ex,1.0,0.88,0.18127961530756212,0.18869763611563492
9,4,Florescent,ridge,full_1fcs,1.0,0.8200000000000001,0.18127961530756212,0.18869763611563492
9,4,Florescent,ridge,full_mfcs,1.0,0.8200000000000001,0.18127961530756212,0.18869763611563492
9,5,Florescent,ridge,full_ex,1.0,0.88,0.18375212977185756,0.20684505278996926
9,5,Florescent,ridge,full_1fcs,1.0,0.8200000000000001,0.18375212977185756,0.20684505278996926
9,5,Florescent,ridge,full_mfcs,1.0,0.8200000000000001,0.18375212977185756,0.20684505278996926
10,1,Florescent,ridge,full_ex,1.0,0.56,0.27637484732707107,0.14445737681820334
10,1,Florescent,ridge,full_1fcs,1.0,1.48,0.27637484732707107,0.14445737681820334
10,1,Florescent,ridge,full_mfcs,1.0,1.48,0.27637484732707107,0.14445737681820334
10,2,Florescent,ridge,full_ex,1.0,0.48,0.2047358349743842,0.0015263348930813214
10,2,Florescent,ridge,full_1fcs,1.0,0.76,0.2047358349743842,0.0015263348930813214
10,2,Florescent,ridge,full_mfcs,1.0,1.06,0.2047358349743842,0.0015263348930813214
10,3,Florescent,ridge,full_ex,1.0,0.42,0.0015737997679634947,0.0
10,3,Florescent,ridge,full_1fcs,1.0,0.52,0.0015737997679634947,0.0
10,3,Florescent,ridge,full_mfcs,1.0,0.72,0.0015737997679634947,0.0
10,4,Florescent,ridge,full_ex,1.0,0.32,0.0007869917951311891,0.14219922464406742
10,4,Florescent,ridge,full_1fcs,1.0,0.72,0.0007869917951311891,0.14219922464406742
10,4,Florescent,ridge,full_mfcs,1.0,0.72,0.0007869917951311891,0.14219922464406742
10,5,Florescent,ridge,full_ex,1.0,0.36,0.04792073211624902,0.23668970762730193
10,5,Florescent,ridge,full_1fcs,1.0,0.76,0.04792073211624902,0.23668970762730193
10,5,Florescent,ridge,full_mfcs,1.0,0.76,0.04792073211624902,0.23668970762730193
11,1,Florescent,ridge,full_ex,1.0,0.72,0.5347615886833519,0.14574626844971791
11,1,Florescent,ridge,full_1fcs,1.0,2.22,0.5347615886833519,0.14574626844971791
11,1,Florescent,ridge,full_mfcs,1.0,2.22,0.5347615886833519,0.14574626844971791
11,2,Florescent,ridge,full_ex,1.0,0.64,0.09183494137961977,0.08174067066605245
11,2,Florescent,ridge,full_1fcs,1.0,0.64,0.09183494137961977,0.08174067066605245
11,2,Florescent,ridge,full_mfcs,1.0,0.64,0.09183494137961977,0.08174067066605245
11,3,Florescent,ridge,full_ex,1.0,0.52,0.08174340505535599,0.0940023115812014
11,3,Florescent,ridge,full_1fcs,1.0,0.34,0.08174340505535599,0.0940023115812014
11,3,Florescent,ridge,full_mfcs,1.0,0.44,0.08174340505535599,0.0940023115812014
11,4,Florescent,ridge,full_ex,1.0,0.52,0.08787202801589995,0.14732230088712828
11,4,Florescent,ridge,full_1fcs,1.0,0.32,0.08787202801589995,0.14732230088712828
11,4,Florescent,ridge,full_mfcs,1.0,0.5,0.08787202801589995,0.14732230088712828
11,5,Florescent,ridge,full_ex,1.0,0.54,0.10768699596026148,0.1707247998399259
11,5,Florescent,ridge,full_1fcs,1.0,0.34,0.10768699596026148,0.1707247998399259
11,5,Florescent,ridge,full_mfcs,1.0,0.52,0.10768699596026148,0.1707247998399259
12,1,Florescent,ridge,full_ex,0.0,0.5,0.5551750818575435,0.07431294615467486
12,1,Florescent,ridge,full_1fcs,1.0,2.22,0.5551750818575435,0.07431294615467486
12,1,Florescent,ridge,full_mfcs,1.0,2.22,0.5551750818575435,0.07431294615467486
12,2,Florescent,ridge,full_ex,1.0,0.4,0.06387730837483556,0.09984545336899098
12,2,Florescent,ridge,full_1fcs,1.0,0.74,0.06387730837483556,0.09984545336899098
12,2,Florescent,ridge,full_mfcs,1.0,1.1,0.06387730837483556,0.09984545336899098
12,3,Florescent,ridge,full_ex,1.0,0.42,0.0998388255830388,0.09061195431612996
12,3,Florescent,ridge,full_1fcs,1.0,0.68,0.0998388255830388,0.09061195431612996
12,3,Florescent,ridge,full_mfcs,1.0,0.96,0.0998388255830388,0.09061195431612996
12,4,Florescent,ridge,full_ex,1.0,0.4,0.09522581504324423,0.08671622268488227
12,4,Florescent,ridge,full_1fcs,1.0,0.96,0.09522581504324423,0.08671622268488227
12,4,Florescent,ridge,full_mfcs,1.0,0.96,0.09522581504324423,0.08671622268488227
12,5,Florescent,ridge,full_ex,1.0,0.4,0.09238945850682041,0.08895434209638692
12,5,Florescent,ridge,full_1fcs,1.0,0.96,0.09238945850682041,0.08895434209638692
12,5,Florescent,ridge,full_mfcs,1.0,0.96,0.09238945850682041,0.08895434209638692
13,1,Florescent,ridge,full_ex,1.0,0.74,0.3427433612243126,0.07344480193466897
13,1,Florescent,ridge,full_1fcs,1.0,1.86,0.3427433612243126,0.07344480193466897
13,1,Florescent,ridge,full_mfcs,1.0,1.86,0.3427433612243126,0.07344480193466897
13,2,Florescent,ridge,full_ex,1.0,0.5,0.06601016692502479,0.1071609624937161
13,2,Florescent,ridge,full_1fcs,1.0,0.66,0.06601016692502479,0.1071609624937161
13,2,Florescent,ridge,full_mfcs,1.0,0.98,0.06601016692502479,0.1071609624937161
13,3,Florescent,ridge,full_ex,1.0,0.54,0.10715345787995521,0.11629158374493072
13,3,Florescent,ridge,full_1fcs,1.0,0.7000000000000001,0.10715345787995521,0.11629158374493072
13,3,Florescent,ridge,full_mfcs,1.0,1.24,0.10715345787995521,0.11629158374493072
13,4,Florescent,ridge,full_ex,1.0,0.54,0.11172210414835246,0.08370156795774948
13,4,Florescent,ridge,full_1fcs,1.0,1.02,0.11172210414835246,0.08370156795774948
13,4,Florescent,ridge,full_mfcs,1.0,1.06,0.11172210414835246,0.08370156795774948
13,5,Florescent,ridge,full_ex,1.0,0.52,0.10238249327162785,0.08698846544175325
13,5,Florescent,ridge,full_1fcs,1.0,1.02,0.10238249327162785,0.08698846544175325
13,5,Florescent,ridge,full_mfcs,1.0,1.36,0.10238249327162785,0.08698846544175325
14,1,Florescent,ridge,full_ex,1.0,0.72,0.28450211834598915,0.08191747432213883
14,1,Florescent,ridge,full_1fcs,1.0,1.02,0.28450211834598915,0.08191747432213883
14,1,Florescent,ridge,full_mfcs,1.0,1.02,0.28450211834598915,0.08191747432213883
14,2,Florescent,ridge,full_ex,1.0,0.64,0.009426739125390063,0.08059860225467852
14,2,Florescent,ridge,full_1fcs,1.0,1.1400000000000001,0.009426739125390063,0.08059860225467852
14,2,Florescent,ridge,full_mfcs,1.0,1.52,0.009426739125390063,0.08059860225467852
14,3,Florescent,ridge,full_ex,1.0,0.7000000000000001,0.08058839821830524,0.1683935107461347
14,3,Florescent,ridge,full_1fcs,1.0,0.8,0.08058839821830524,0.1683935107461347
14,3,Florescent,ridge,full_mfcs,1.0,1.1,0.08058839821830524,0.1683935107461347
14,4,Florescent,ridge,full_ex,1.0,0.74,0.12448780706379597,0.27189251354161975
14,4,Florescent,ridge,full_1fcs,1.0,1.06,0.12448780706379597,0.27189251354161975
14,4,Florescent,ridge,full_mfcs,1.0,1.06,0.12448780706379597,0.27189251354161975
14,5,Florescent,ridge,full_ex,1.0,0.8,0.17362036081142723,0.2278422715624265
14,5,Florescent,ridge,full_1fcs,1.0,1.18,0.17362036081142723,0.2278422715624265
14,5,Florescent,ridge,full_mfcs,1.0,1.18,0.17362036081142723,0.2278422715624265
15,1,Florescent,ridge,full_ex,1.0,0.48,0.3750801773654564,0.462372067089989
15,1,Florescent,ridge,full_1fcs,1.0,1.08,0.3750801773654564,0.462372067089989
15,1,Florescent,ridge,full_mfcs,1.0,1.08,0.3750801773654564,0.462372067089989
15,2,Florescent,ridge,full_ex,1.0,0.32,0.02682057165857829,0.16505322355304997
15,2,Florescent,ridge,full_1fcs,1.0,0.28,0.02682057165857829,0.16505322355304997
15,2,Florescent,ridge,full_mfcs,1.0,0.98,0.02682057165857829,0.16505322355304997
15,3,Florescent,ridge,full_ex,1.0,0.46,0.16502580351060625,0.0
15,3,Florescent,ridge,full_1fcs,1.0,0.38,0.16502580351060625,0.0
15,3,Florescent,ridge,full_mfcs,1.0,0.5,0.16502580351060625,0.0
15,4,Florescent,ridge,full_ex,1.0,0.34,0.08252108626032408,0.1935075285980521
15,4,Florescent,ridge,full_1fcs,1.0,0.3,0.08252108626032408,0.1935075285980521
15,4,Florescent,ridge,full_mfcs,1.0,0.4,0.08252108626032408,0.1935075285980521
15,5,Florescent,ridge,full_ex,1.0,0.38,0.11951412055526613,0.15348623502720246
15,5,Florescent,ridge,full_1fcs,1.0,0.34,0.11951412055526613,0.15348623502720246
15,5,Florescent,ridge,full_mfcs,1.0,0.44,0.11951412055526613,0.15348623502720246
16,1,Florescent,ridge,full_ex,1.0,0.7000000000000001,0.2855798668149245,0.11753664139372404
16,1,Florescent,ridge,full_1fcs,1.0,1.24,0.2855798668149245,0.11753664139372404
16,1,Florescent,ridge,full_mfcs,1.0,1.24,0.2855798668149245,0.11753664139372404
16,2,Florescent,ridge,full_ex,1.0,0.6,0.18539103673311036,0.20187502168821803
16,2,Florescent,ridge,full_1fcs,1.0,0.96,0.18539103673311036,0.20187502168821803
